윈도우 크기,최대 간격,임계값 (%),최대 연속 불일치,평균 최대 연속 불일치,5 이하 비율 (%),총 스킵 횟수,평균 정확도 (%),최적
6,7,53.4,0,0.00,100.00,693,0.00,✅
6,6,53.4,0,0.00,100.00,711,0.00,
6,5,53.4,0,0.00,100.00,729,0.00,
6,4,53.4,0,0.00,100.00,747,0.00,
6,3,53.4,0,0.00,100.00,765,0.00,
6,2,53.4,0,0.00,100.00,783,0.00,
6,1,53.4,0,0.00,100.00,801,0.00,
6,7,52.2,2,1.28,100.00,222,56.48,
8,6,51.0,3,2.00,100.00,28,51.85,
7,5,51.8,3,1.78,100.00,118,60.41,
8,6,52.6,3,2.06,100.00,120,45.90,
8,6,53.0,3,1.83,100.00,136,48.92,
8,7,53.4,3,1.78,100.00,142,48.43,
6,6,51.4,3,1.67,100.00,143,51.38,
7,5,52.2,3,1.67,100.00,166,58.64,
6,7,51.8,3,1.39,100.00,167,55.83,
8,5,53.0,3,1.89,100.00,174,45.10,
7,5,52.6,3,1.33,100.00,246,58.21,
6,5,52.2,3,1.61,100.00,274,52.06,
6,7,52.6,3,1.39,100.00,298,47.31,
