prefix,빈도 기반_예측,빈도 기반_신뢰도(%),가중치 기반_예측,가중치 기반_신뢰도(%),시뮬레이션 승률(%)
pbbbbppbpp,b,64.49,b,53.39,-
pbpbppbppb,b,64.36,p,54.61,-
bpppbbpbbp,p,64.29,b,64.05,-
pbppbbbbbp,b,64.21,p,94.18,100.0
bppppbppbb,p,63.16,p,92.41,66.7
pbpppppbpb,b,62.93,p,54.41,-
bpbbppppbb,p,62.38,p,85.66,-
pbbppbbppb,p,62.28,b,59.89,-
pbbppbpbbb,p,62.16,b,77.86,-
bpbbbbbpbp,p,61.96,b,54.2,0.0
pbpbpbppbb,b,61.54,p,73.77,-
pbppbpppbp,p,61.39,p,59.91,-
bpbbpppbbb,p,61.26,p,52.29,-
pbpbbbppbb,b,61.26,b,56.9,-
bpbpbpbbpb,b,61.19,p,51.96,-
pbbpbpbppb,b,61.11,b,62.92,-
pbpbbbpppp,b,60.95,p,78.75,50.0
bpbbbbbppb,b,60.94,b,70.05,-
pbbpbbpppb,b,60.83,b,65.22,-
pbbpbbpbbp,b,60.56,p,50.2,-
pbbbppppbb,p,60.5,b,71.21,-
pbbpppbbbp,p,60.5,p,66.64,-
pbpbbbbppb,b,60.42,b,84.95,100.0
pbpppbbppb,b,60.42,b,85.52,100.0
bppbbbppbb,p,60.4,p,78.5,-
pbpbpbbbpb,b,60.34,b,74.41,100.0
bppppbbbpp,p,60.19,p,53.23,-
pbpbpbbppb,b,60.19,b,55.54,50.0
pbbpppbpbb,p,60.15,p,60.14,-
pbbppppbbb,p,60,b,58.76,75.0
pbpppbbpbp,b,60,b,60.91,-
bpppbppbpb,p,59.82,p,50.35,-
pbbbbbpbbb,b,59.63,p,58.03,-
pbppbbpbbp,b,59.63,b,81.03,100.0
bpbbpbbbpp,b,59.6,p,67.17,100.0
pbppbbbbpb,b,59.5,b,54.72,-
pbbbbbbbbb,p,59.4,p,59.43,-
bppbpbpppb,b,59.38,p,57.62,50.0
pbbbpbbbbp,b,59.35,b,67.66,0.0
pbppppppbb,b,59.34,p,53.66,100.0
pbbbbbpbpb,b,59.26,b,74.59,50.0
bppbpbpbpp,b,59.22,b,82.32,100.0
pbppbpbbpp,p,59.22,p,62.5,-
pbbppbpbpp,b,59.09,b,60.71,60.0
pbpbbpbpbb,b,59.09,b,53.76,100.0
bppbpbpbpb,b,59.05,b,63.68,100.0
bpbbbppbpp,b,58.93,b,78,-
bppbppppbp,b,58.75,p,61.55,-
pbbbbbbppb,b,58.72,p,53.1,-
