윈도우,prefix,전체 빈도,빈도 기반_예측,빈도 기반_신뢰도(%),빈도 기반_예측빈도,가중치 기반_예측,가중치 기반_신뢰도(%),가중치 기반_예측빈도,시뮬레이션 승률(%)
9,bpbbbbbb,496,b,51.41,496,p,59.79,8.4,66.7
9,bpbbbbbp,477,p,54.09,477,p,59.27,11.4,52.4
9,bpbbbbpb,523,b,51.05,523,b,58.16,12.2,63.2
9,bpbbbbpp,460,b,50.87,460,b,50.97,9.6,46.2
9,bpbbbpbb,546,b,50.55,546,p,52.47,12.6,47.6
9,bpbbbpbp,486,b,50.21,486,b,51.04,11.1,41.2
9,bpbbbppb,496,p,51.41,496,p,63.18,10.3,42.9
9,bpbbbppp,441,b,51.02,441,b,59.69,9.5,31.2
9,bpbbpbbb,504,b,51.98,504,p,52.74,13.3,35.7
9,bpbbpbbp,562,b,56.05,562,b,55.61,16.0,60.7
9,bpbbpbpb,499,p,53.31,499,p,58.81,10.1,43.8
9,bpbbpbpp,516,p,51.36,516,p,64.3,11.2,78.9
9,bpbbppbb,487,p,51.75,487,p,69.65,12.1,47.1
9,bpbbppbp,444,b,50.45,444,p,57.44,10.0,35.3
9,bpbbpppb,521,b,51.63,521,b,56.63,12.6,42.1
9,bpbbpppp,450,b,51.56,450,p,52.43,11.5,30.8
9,bpbpbbbb,489,b,56.65,489,b,53.01,9.7,82.6
9,bpbpbbbp,493,b,51.93,493,b,56.53,7.5,61.1
9,bpbpbbpb,490,b,51.02,490,b,54.9,11.5,39.1
9,bpbpbbpp,473,b,50.32,473,b,54.69,11.9,75.0
9,bpbpbpbb,506,p,50.79,506,p,58.71,12.1,52.6
9,bpbpbpbp,432,p,51.39,432,p,55.71,5.6,38.9
9,bpbpbppb,488,b,59.02,488,b,52.64,6.5,47.8
9,bpbpbppp,447,b,50.11,447,b,53.75,7.3,60.9
9,bpbppbbb,515,p,50.49,515,b,58.96,8.3,58.8
9,bpbppbbp,501,b,52.3,501,p,66.15,9.3,50.0
9,bpbppbpb,447,b,51.23,447,b,53.46,8.5,52.0
9,bpbppbpp,434,b,51.38,434,b,57.21,9.8,50.0
9,bpbpppbb,474,p,51.48,474,p,57.11,9.2,44.4
9,bpbpppbp,413,b,52.54,413,b,50.95,11.6,48.0
9,bpbppppb,472,b,52.54,472,b,62.9,9.6,53.6
9,bpbppppp,445,b,50.56,445,p,61.28,7.3,47.1
9,bppbbbbb,461,b,56.62,461,b,53.68,8.2,45.5
9,bppbbbbp,493,b,51.32,493,b,61.68,9.1,50.0
9,bppbbbpb,502,b,52.99,502,p,56.86,9.7,66.7
9,bppbbbpp,415,b,50.12,415,b,51.65,8.6,45.5
9,bppbbpbb,504,p,50.4,504,p,56.98,13.4,50.0
9,bppbbpbp,477,p,50.1,477,b,55.14,8.1,61.9
9,bppbbppb,490,p,50,490,b,52.83,10.1,42.3
9,bppbbppp,465,b,54.19,465,p,53.41,10.8,29.4
9,bppbpbbb,473,p,53.91,473,p,53.52,11.4,64.7
9,bppbpbbp,494,b,54.86,494,b,60.05,10.8,79.2
9,bppbpbpb,448,b,50.45,448,p,53.83,6.6,59.1
9,bppbpbpp,481,b,54.05,481,b,51.04,14.8,72.0
9,bppbppbb,472,p,51.69,472,p,50.72,6.4,78.6
9,bppbppbp,442,b,54.75,442,b,60.76,9.1,80.8
9,bppbpppb,414,b,50.24,414,p,62.7,8.3,53.3
9,bppbpppp,402,b,52.24,402,b,60.55,10.0,60.0
9,bpppbbbb,448,b,50.22,448,p,67.29,9.2,43.8
9,bpppbbbp,453,p,51.43,453,b,52.88,9.9,57.1
9,bpppbbpb,491,b,50.92,491,b,64.53,7.3,70.0
9,bpppbbpp,445,p,51.24,445,p,50.25,11.6,55.0
9,bpppbpbb,470,p,52.55,470,p,64.21,9.8,43.5
9,bpppbpbp,438,b,52.97,438,p,58.26,10.9,52.6
9,bpppbppb,433,p,50.35,433,p,54.85,10.8,50.0
9,bpppbppp,440,b,50.68,440,p,58.96,10.8,33.3
