No,prefix,전체 빈도,빈도 기반_예측,빈도 기반_신뢰도(%),빈도 기반_예측빈도,가중치 기반_예측,가중치 기반_신뢰도(%),가중치 기반_예측빈도,시뮬레이션 승률(%)
42,bppbpbbp,551,b,55.35,551,b,70.99,6.2,78.1
113,pbppbbbb,542,p,51.85,542,p,64.68,7.7,76.0
44,bppbpbpp,550,b,54.73,550,b,60.06,9.7,73.5
46,bppbppbp,510,b,53.53,510,p,56.38,8.1,72.2
12,bpbbpbpp,582,p,51.72,582,p,54.05,6.4,71.4
45,bppbppbb,543,p,52.12,543,p,51.65,8.7,71.4
71,pbbbbppb,545,p,51.56,545,p,59.54,11.7,70.6
128,pbpppppp,485,p,50.31,485,b,56.18,10.5,69.6
112,pbpbpppp,497,b,52.52,497,b,70.38,6.1,68.0
1,bpbbbbbb,560,b,51.61,560,p,52.12,8.4,66.7
17,bpbpbbbb,564,b,55.14,564,p,50.67,8.1,65.7
121,pbpppbbb,544,b,54.41,544,b,61.56,11.0,65.5
127,pbpppppb,491,b,50.1,491,p,54.28,7.1,65.2
99,pbpbbbpb,595,b,53.28,595,b,58.6,10.4,64.0
20,bpbpbbpp,544,p,50.18,544,p,61.46,7.9,63.0
109,pbpbppbb,582,p,50.52,582,b,55.23,7.9,62.5
50,bpppbbbp,521,p,51.25,521,b,65.72,9.3,61.9
48,bppbpppp,467,b,51.61,467,b,50.58,8.6,61.8
51,bpppbbpb,568,p,50.35,568,p,60.46,12.5,60.7
24,bpbpbppp,531,b,50.85,531,b,64.37,8.4,60.0
92,pbbppbpp,519,p,51.06,519,b,55.08,8.9,60.0
118,pbppbpbp,547,p,51.19,547,p,54,6.9,60.0
3,bpbbbbpb,593,b,50.59,593,b,51.14,9.5,59.6
41,bppbpbbb,547,p,53.38,547,p,55.2,8.1,59.4
38,bppbbpbp,547,b,50.09,547,b,50.24,9.0,59.3
89,pbbppbbb,555,b,50.27,555,b,55.32,9.8,59.3
107,pbpbpbpb,533,b,54.41,533,b,53.09,8.4,59.3
122,pbpppbbp,521,b,51.63,521,b,58.85,10.9,59.1
93,pbbpppbb,548,p,53.28,548,p,58.42,9.1,59.0
18,bpbpbbbp,583,b,51.46,583,b,50.57,11.0,58.1
84,pbbpbbpp,540,p,51.3,540,b,53.4,12.1,58.1
43,bppbpbpb,526,p,50,526,b,55.18,7.9,57.1
62,bpppppbp,487,b,50.51,487,p,78.65,6.9,57.1
124,pbpppbpp,503,p,50.7,503,p,53.24,7.9,57.1
57,bppppbbb,497,b,51.31,497,b,71.34,8.8,56.0
83,pbbpbbpb,627,p,50.08,627,p,56.12,7.1,56.0
67,pbbbbbpb,515,b,51.46,515,p,63.06,8.1,55.6
100,pbpbbbpp,547,b,53.38,547,b,60.43,9.7,55.6
97,pbpbbbbb,568,b,51.06,568,p,56.19,9.0,55.0
98,pbpbbbbp,512,b,54.1,512,b,67.19,7.2,55.0
103,pbpbbppb,526,b,51.71,526,p,52.97,6.2,54.5
120,pbppbppp,486,b,54.53,486,p,57.97,8.8,54.1
68,pbbbbbpp,509,p,52.26,509,p,59.13,7.7,53.3
65,pbbbbbbb,590,p,50,590,b,66.77,8.0,52.9
74,pbbbpbbp,590,b,51.53,590,b,63.73,9.4,52.6
10,bpbbpbbp,636,b,55.97,636,b,50.52,9.2,52.5
110,pbpbppbp,497,b,51.31,497,p,50.62,8.0,52.4
95,pbbppppb,530,p,54.53,530,p,58.16,10.4,52.2
52,bpppbbpp,507,p,50.1,507,b,65.46,7.7,52.0
88,pbbpbppp,556,p,51.62,556,p,60.13,8.1,52.0
59,bppppbpb,551,b,51.91,551,b,59.5,9.9,51.7
35,bppbbbpb,569,b,52.37,569,p,51.21,9.2,51.6
85,pbbpbpbb,562,b,52.67,562,p,50.1,8.4,51.6
31,bpbppppb,539,b,51.95,539,p,58.22,9.3,51.4
108,pbpbpbpp,535,b,52.71,535,p,50.54,6.4,51.4
27,bpbppbpb,518,p,50.19,518,b,54.24,7.9,50.0
36,bppbbbpp,479,b,50.1,479,p,58.64,9.7,50.0
47,bppbpppb,501,b,50.7,501,b,60.54,9.4,50.0
55,bpppbppb,497,b,50.3,497,b,70.39,8.4,50.0
72,pbbbbppp,489,b,50.92,489,b,52.79,5.7,50.0
102,pbpbbpbp,537,p,51.96,537,b,68.38,6.3,50.0
115,pbppbbpb,568,p,52.46,568,p,65.5,8.8,50.0
75,pbbbpbpb,568,p,51.76,568,p,56.51,9.8,48.5
21,bpbpbpbb,588,b,50.17,588,b,66.64,8.4,48.4
26,bpbppbbp,552,b,51.99,552,b,57.14,6.2,48.3
