No,윈도우,prefix,전체 빈도,빈도 기반_예측,빈도 기반_신뢰도(%),빈도 기반_예측빈도,가중치 기반_예측,가중치 기반_신뢰도(%),가중치 기반_예측빈도,시뮬레이션 승률(%)
1,9,bpbbbbbb,627,b,50.4,627,p,52.12,8.4,48.2
2,9,bpbbbbbp,608,p,50.82,608,p,56.1,8.9,39.7
3,9,bpbbbbpb,670,b,51.04,670,b,51.14,9.5,62.3
4,9,bpbbbbpp,581,b,50.77,581,b,77.76,7.1,39.5
5,9,bpbbbpbb,695,b,51.08,695,p,56.1,9.9,45.5
6,9,bpbbbpbp,639,b,50.08,639,b,59.97,6.9,38.5
7,9,bpbbbppb,630,p,51.75,630,b,58.38,10.3,55.3
8,9,bpbbbppp,551,p,50.64,551,b,54.19,8.4,38.1
9,9,bpbbpbbb,644,b,53.26,644,b,62.99,8.4,47.0
10,9,bpbbpbbp,692,b,55.64,692,b,50.52,9.2,54.0
11,9,bpbbpbpb,633,p,53.71,633,b,52.72,8.9,65.6
12,9,bpbbpbpp,656,p,52.13,656,p,54.05,6.4,52.0
13,9,bpbbppbb,614,p,51.47,614,b,58.23,8.2,51.5
14,9,bpbbppbp,602,b,51.83,602,p,51.11,9.4,39.3
15,9,bpbbpppb,663,b,51.89,663,b,53.61,9.4,55.6
16,9,bpbbpppp,573,b,52.36,573,b,64.35,7.4,48.6
17,9,bpbpbbbb,626,b,54.63,626,p,50.67,8.1,47.5
18,9,bpbpbbbp,649,b,51.46,649,b,50.57,11.0,53.9
19,9,bpbpbbpb,611,b,50.57,611,b,66.1,9.1,43.1
20,9,bpbpbbpp,616,p,50.16,616,p,61.46,7.9,51.8
21,9,bpbpbpbb,669,p,50.07,669,b,66.64,8.4,45.9
22,9,bpbpbpbp,592,p,50.51,592,b,58.48,7.9,47.1
23,9,bpbpbppb,653,b,55.74,653,b,56.36,5.4,50.0
24,9,bpbpbppp,601,b,51.08,601,b,64.37,8.4,56.8
25,9,bpbppbbb,643,p,51.63,643,p,70.66,8.9,41.5
26,9,bpbppbbp,627,b,51.67,627,b,57.14,6.2,48.0
27,9,bpbppbpb,613,p,50.24,613,b,54.24,7.9,47.5
28,9,bpbppbpp,577,p,50.26,577,p,67.57,6.5,44.1
29,9,bpbpppbb,625,p,50.56,625,p,59.73,10.7,36.1
30,9,bpbpppbp,562,b,53.56,562,b,54.9,6.7,62.2
31,9,bpbppppb,611,b,52.21,611,p,58.22,9.3,57.2
32,9,bpbppppp,564,b,51.77,564,p,63.65,7.6,47.0
33,9,bppbbbbb,575,b,56.17,575,b,57.34,7.4,44.4
34,9,bppbbbbp,603,b,50.75,603,p,65.34,10.3,42.9
35,9,bppbbbpb,629,b,52.31,629,p,51.21,9.2,48.6
36,9,bppbbbpp,550,b,50.18,550,p,58.64,9.7,53.8
37,9,bppbbpbb,623,b,50.08,623,b,54.33,6.5,42.9
38,9,bppbbpbp,611,b,50.08,611,b,50.24,9.0,53.9
39,9,bppbbppb,630,b,50.32,630,p,58.31,8.9,43.6
40,9,bppbbppp,592,b,53.04,592,p,56.94,11.4,24.3
41,9,bppbpbbb,616,p,52.11,616,p,55.2,8.1,41.2
42,9,bppbpbbp,635,b,55.12,635,b,70.99,6.2,57.6
43,9,bppbpbpb,597,p,50.42,597,b,55.18,7.9,50.0
44,9,bppbpbpp,617,b,53.97,617,b,60.06,9.7,49.3
45,9,bppbppbb,605,p,52.07,605,p,51.65,8.7,59.5
46,9,bppbppbp,577,b,53.21,577,p,56.38,8.1,49.3
47,9,bppbpppb,581,p,50.26,581,b,60.54,9.4,50.0
48,9,bppbpppp,523,b,50.1,523,b,50.58,8.6,51.9
49,9,bpppbbbb,594,p,50.34,594,p,54.48,11.3,43.8
50,9,bpppbbbp,583,p,51.29,583,b,65.72,9.3,51.0
51,9,bpppbbpb,627,p,50.4,627,p,60.46,12.5,52.4
52,9,bpppbbpp,582,p,50.52,582,b,65.46,7.7,53.6
53,9,bpppbpbb,612,p,51.14,612,b,60.62,9.1,38.5
54,9,bpppbpbp,585,b,51.79,585,p,58.12,8.4,49.3
55,9,bpppbppb,559,b,50.27,559,b,70.39,8.4,45.8
56,9,bpppbppp,573,b,51.83,573,b,61.19,7.8,48.3
57,9,bppppbbb,560,b,51.25,560,b,71.34,8.8,42.2
58,9,bppppbbp,603,b,51.58,603,b,53.75,9.5,42.6
59,9,bppppbpb,626,b,52.4,626,b,59.5,9.9,54.7
60,9,bppppbpp,582,b,50.34,582,p,68.96,12.7,47.6
61,9,bpppppbb,558,p,51.97,558,p,60.25,7.1,49.5
