id,created_at,step,position,anchor,window_size,prefix,predicted,actual,is_correct,confidence,skipped,skip_reason
2,2026-06-26 16:28:48,1,8,0,9,bbbbbbbb,pass,p,,0.0,1,pass (예측값 NULL)
3,2026-06-26 16:30:02,1,9,1,9,pbbbbppp,p,b,0.0,52.38095238095239,0,
4,2026-06-26 16:34:06,1,9,1,9,pbpppppb,pass,p,,0.0,1,pass (예측값 NULL)
5,2026-06-26 16:36:47,1,9,1,9,bpbbbbbp,pass,b,,0.0,1,pass (예측값 NULL)
6,2026-06-26 16:38:00,1,9,1,9,pbpbbbpb,p,p,1.0,50.92592592592593,0,
7,2026-06-26 16:40:23,1,9,1,9,bpbpppbp,b,b,1.0,51.32743362831859,0,
8,2026-06-26 16:41:16,1,9,1,9,pbpbpppp,b,b,1.0,54.285714285714285,0,
9,2026-06-26 16:42:11,1,9,1,9,pbbbpbpp,pass,b,,0.0,1,pass (예측값 NULL)
10,2026-06-26 16:44:03,1,9,1,9,bpbpppbb,p,p,1.0,51.35135135135135,0,
11,2026-06-26 16:45:13,1,9,1,9,pbbbpbpb,pass,p,,0.0,1,pass (예측값 NULL)
12,2026-06-26 16:46:19,1,9,1,9,pbbbbbbb,pass,p,,0.0,1,pass (예측값 NULL)
13,2026-06-26 16:48:18,1,9,1,9,bpbbbpbb,b,p,0.0,50.0,0,
14,2026-06-26 16:50:01,1,9,1,9,pbpppppp,b,b,1.0,51.80722891566265,0,
15,2026-06-26 17:07:58,1,9,1,9,pbpbbbbp,b,p,0.0,52.52525252525253,0,
16,2026-06-26 17:13:35,1,9,1,9,bppppppb,p,p,1.0,50.54945054945055,0,
17,2026-06-26 17:14:24,1,9,1,9,pbpppbpb,p,p,1.0,56.00000000000001,0,
18,2026-06-26 17:18:22,1,9,1,9,bpppppbb,p,p,1.0,57.291666666666664,0,
19,2026-06-26 17:19:28,1,9,1,9,pbpbpppp,b,b,1.0,54.285714285714285,0,
20,2026-06-26 17:20:52,1,9,1,9,pbpppbpb,p,b,0.0,56.00000000000001,0,
21,2026-06-26 17:22:45,1,9,1,9,bpbpbpbb,b,p,0.0,56.86274509803921,0,
22,2026-06-26 17:24:36,1,9,1,9,bpbbbbpp,pass,p,,0.0,1,pass (예측값 NULL)
23,2026-06-26 17:26:37,1,9,1,9,bpbpbbbb,p,b,0.0,51.21951219512195,0,
24,2026-06-26 17:29:12,1,9,1,9,bpppbbbb,pass,b,,0.0,1,pass (예측값 NULL)
25,2026-06-26 17:30:24,1,9,1,9,bpppbpbb,p,b,0.0,58.77192982456141,0,
26,2026-06-26 17:31:51,1,9,1,9,pbpbbbpb,p,b,0.0,50.92592592592593,0,
27,2026-06-26 17:52:44,1,9,1,9,bpppbppp,b,b,1.0,51.041666666666664,0,
28,2026-06-26 17:55:06,1,9,1,9,pbbbpbpb,pass,b,,0.0,1,pass (예측값 NULL)
