window_size,csv_prefix,grid_string_id,string_length,grid_string,full_chunk,suffix
11,bbbpbbbbbb,138,33,bbbpbbbbbbpppbbbpppbpppppbbppppbb,bbbpbbbbbbp,p
11,bbbpbbbbbb,1004,60,bbbpbbbbbbpbbbppbppbbpppppbpppbbppbppbbpbbpbbbbpbppbbbpppbpb,bbbpbbbbbbp,p
11,bbbpbbbbbb,1612,60,bbbpbbbbbbbpbbbpbppbbbpbbbpbbppbpbpbpbbbpppbbbppbbppbbppbpbp,bbbpbbbbbbb,b
11,bbbpbbbbbb,1621,43,bbbpbbbbbbbbpbbppbpbppbbppbppppbbbppbpbpppp,bbbpbbbbbbb,b
11,bbbpbbbbbb,1782,55,bbbpbbbbbbpppppbbpppbpbbppppbbpbppbbbbbpppbbpbbbpbbbbbp,bbbpbbbbbbp,p
11,bbbpbbbbbb,2613,45,bbbpbbbbbbbbbpppppbbbbbpbppbbbpbpbpbpppbpbbbb,bbbpbbbbbbb,b
11,bbbpbbbbbb,3530,58,bbbpbbbbbbpbpbpbppbbbpbbbpppbppbpbpbpbpbbppbppbppbpppbpbpb,bbbpbbbbbbp,p
11,bbbpbbbbbb,5443,55,bbbpbbbbbbbbbpppbpbpbpbbpbppbbpppbppbbbbbbbpbbpbpppppbb,bbbpbbbbbbb,b
11,bbbpbbbbbb,5577,37,bbbpbbbbbbppbbbbbbpbppbbpbpbbbbbpppbb,bbbpbbbbbbp,p
11,bbbpbbbbbp,1625,56,bbbpbbbbbpbppppbpppbpppbpbpbpbbbpbpbpbppbbbpppbbbbbbpbpb,bbbpbbbbbpb,b
11,bbbpbbbbbp,2245,51,bbbpbbbbbpbbbppbbppppppbpppbbppbppbpppbppbbpbppbbpp,bbbpbbbbbpb,b
11,bbbpbbbbbp,6013,38,bbbpbbbbbpppppppbpbpppbpbppbbpppbpbppp,bbbpbbbbbpp,p
11,bbbpbbbbbp,6370,63,bbbpbbbbbpppbbppppbppbbpbbppbbppbbpbpbbbpbpppbbppppppbbbpbpbbbb,bbbpbbbbbpp,p
11,bbbpbbbbpb,2720,47,bbbpbbbbpbbpppbbppbpbpppbbbbbpbpbbbbbpbpbbbpppb,bbbpbbbbpbb,b
11,bbbpbbbbpb,3889,55,bbbpbbbbpbbppppbbbpbbbppppbbbpbbpbpbpppbbpbpbbbppbbbpbb,bbbpbbbbpbb,b
11,bbbpbbbbpb,5985,45,bbbpbbbbpbpbpbbbpppppppbppppbpbbbbbbpbbppbbpp,bbbpbbbbpbp,p
11,bbbpbbbbpp,706,32,bbbpbbbbppbpbbbbbbppbbpppbbppppb,bbbpbbbbppb,b
11,bbbpbbbbpp,2103,48,bbbpbbbbpppbbbpbbpbbpbpbbbbpbbpbbbbbbpbbbppppppb,bbbpbbbbppp,p
11,bbbpbbbbpp,2309,45,bbbpbbbbppbppbpppbpbpbpbbbpbppbpbbbppbbppbpbb,bbbpbbbbppb,b
11,bbbpbbbbpp,2511,57,bbbpbbbbppbpbpbbpbpbbbpbpppppppbbpbbbbpbbppppbbpbpbpbbppb,bbbpbbbbppb,b
11,bbbpbbbbpp,2589,60,bbbpbbbbpppbbppbbpbppbppbbpbbbbpbbbbbppbpbbbpbpppbbpbpbpbppp,bbbpbbbbppp,p
11,bbbpbbbbpp,2955,60,bbbpbbbbpppppbbbbbbpbbpbpbbbppbppbpppbppbppbpbbpbbpbbbpppbbp,bbbpbbbbppp,p
11,bbbpbbbbpp,4027,63,bbbpbbbbppppbpbbbpbpppbpbbbbbbbbbppbbpbbpbppbpbbbbpbpbppbpbbpbp,bbbpbbbbppp,p
11,bbbpbbbbpp,4130,52,bbbpbbbbppbbbbpbbppbbppbppppppbpbppppbpbbbppbbppbbbp,bbbpbbbbppb,b
11,bbbpbbbbpp,5209,58,bbbpbbbbpppbppbbbbppbbpbbpbbpppbpbppbpbbbbppbpbpbbbbppbbbb,bbbpbbbbppp,p
11,bbbpbbbbpp,5663,51,bbbpbbbbppbbpppbbppbbbpppbbpbbbbppbpbbpbpppbpbbbbbp,bbbpbbbbppb,b
11,bbbpbbbbpp,6144,66,bbbpbbbbppbpbpbbbpppbbppbppbbpbbppbbppbpbpppbppppbpbbbbppppbpbpbbp,bbbpbbbbppb,b
11,bbbpbbpbbp,69,20,bbbpbbpbbpbbpbbbbbpp,bbbpbbpbbpb,b
11,bbbpbbpbbp,297,34,bbbpbbpbbpbpbpbbpppbpppbpbpbpbbbbp,bbbpbbpbbpb,b
11,bbbpbbpbbp,2679,66,bbbpbbpbbppbbpbpppppbbppbppppppbbbbppbbppppppppbbpbpbpbpbbppbbbbpp,bbbpbbpbbpp,p
11,bbbpbbpbbp,2806,48,bbbpbbpbbpbpbpbppbbppbbbbpbppbppbpppbpbpbpbbbppb,bbbpbbpbbpb,b
11,bbbpbbpbbp,3932,54,bbbpbbpbbpbbbbpbbpbbpbpppppbbbbbppppbbbbbbppppppppbbbp,bbbpbbpbbpb,b
11,bbbpbbpbbp,4678,32,bbbpbbpbbpbbbbbbbbpbbppppbppbpbp,bbbpbbpbbpb,b
11,bbbpbbpbpb,118,23,bbbpbbpbpbppbbpbbbpbppp,bbbpbbpbpbp,p
11,bbbpbbpbpb,1205,39,bbbpbbpbpbpbpppbpbbpppppbbpbpbpppbbppbp,bbbpbbpbpbp,p
11,bbbpbbpbpb,1236,59,bbbpbbpbpbppbbppbpbbppppbpppbppbppppbpbppbpbppbbbpbpbpbbbbb,bbbpbbpbpbp,p
11,bbbpbbpbpb,1632,63,bbbpbbpbpbbppbbbbbbbbbppbbbbpbbppppbpbppbbbpbbbbbbpbbbbbppppbpb,bbbpbbpbpbb,b
11,bbbpbbpbpb,3135,65,bbbpbbpbpbbppbbpbbpbpbppbbpppppppppbppppbppbbpbbbppbbbpbbpppbpppb,bbbpbbpbpbb,b
11,bbbpbbpbpb,3223,49,bbbpbbpbpbpppbpppbbppbppbpppbbbbpbbppbbpbpbbbbbpp,bbbpbbpbpbp,p
11,bbbpbbpbpb,5222,55,bbbpbbpbpbbpbpppbpppppppppbbppppppbpppppppbbbbpbbpbpbpp,bbbpbbpbpbb,b
11,bbbpbbpbpb,5442,41,bbbpbbpbpbpbbbbppppbbbppbpbbbbpbbppbbbpbp,bbbpbbpbpbp,p
11,bbbpbbpbpb,5770,48,bbbpbbpbpbbpbpbpppbbbpbpbbbpbbppbbbbbppbpbbppbpb,bbbpbbpbpbb,b
11,bbbpbbpbpp,40,41,bbbpbbpbppbbbbbpbpbpppbbbppbppbbbpbbpppbb,bbbpbbpbppb,b
11,bbbpbbpbpp,944,64,bbbpbbpbppbpbbbbbbbbbppppbpppbbbbbpbppbbpbbbbbppppppbbppbpbbbpbb,bbbpbbpbppb,b
11,bbbpbbpbpp,2124,46,bbbpbbpbppbbpbpbppbbbpbbbpbbppbpbbbpppbbbpbbpb,bbbpbbpbppb,b
11,bbbpbbpbpp,3023,63,bbbpbbpbpppppbbppbbpppbbbppppbbpbbpbbpbppbppbppppbbbbppbpbpbppb,bbbpbbpbppp,p
11,bbbpbbpbpp,3850,52,bbbpbbpbpppppbpbppppbppbbbpppbbpbppppbbpppppbbbbbbbp,bbbpbbpbppp,p
11,bbbpbbpbpp,4907,42,bbbpbbpbppppbbbbppppbpbpppppbbppbpbpbbppbb,bbbpbbpbppp,p
11,bbbpbbpbpp,5859,52,bbbpbbpbppbppppbbbpppppppbbppbbppbbbpppbbppbbbbppppp,bbbpbbpbppb,b
11,bbbpbbpbpp,6307,38,bbbpbbpbppbppbbppbppbpbpbpppbppbbbpppp,bbbpbbpbppb,b
11,bbbpbbppbb,54,23,bbbpbbppbbbpbbpbbbbpppb,bbbpbbppbbb,b
11,bbbpbbppbb,855,33,bbbpbbppbbbppppbpbpbpbbpppbbpbppb,bbbpbbppbbb,b
11,bbbpbbppbb,2123,60,bbbpbbppbbbpbpppppppbbpbbbbppbpbbbpbbbppbpppbppbbpbbpbpppbbb,bbbpbbppbbb,b
11,bbbpbbppbb,2174,51,bbbpbbppbbbbpppbpbbbppbpbpbbbbbbpppbbpbbpbpbbbppppp,bbbpbbppbbb,b
11,bbbpbbppbb,4103,49,bbbpbbppbbppbbbbpbbbbpbbppbpbbbbpbpbpbbbpppbbbpbb,bbbpbbppbbp,p
11,bbbpbbppbb,4411,46,bbbpbbppbbpbbbppbpppbpbpbppbpbbpbbpbppppbbppbp,bbbpbbppbbp,p
11,bbbpbbppbb,4717,47,bbbpbbppbbbbbpbbpbbbppbbpbppbbbbbbpbppbpbbpbbbb,bbbpbbppbbb,b
11,bbbpbbppbb,4851,60,bbbpbbppbbbbbbppbpbbpppbbbbbbppbpppbpbbppbpbbppbbppppbbbpbbp,bbbpbbppbbb,b
11,bbbpbbppbp,155,23,bbbpbbppbpbbpbbppbbbbbp,bbbpbbppbpb,b
11,bbbpbbppbp,1337,56,bbbpbbppbpppbbbpbbpbpbppbppbpbpppbbpbpppbbbbbbbpbppbpppp,bbbpbbppbpp,p
11,bbbpbbppbp,1382,64,bbbpbbppbppppbbppppbppbbbbpppbppbbppbppbppppppbpbpppppbbppbpbbbb,bbbpbbppbpp,p
11,bbbpbbppbp,2261,47,bbbpbbppbppppbbpbpbpbbppbbbpbpppbpbpbpbpppppbbp,bbbpbbppbpp,p
11,bbbpbbppbp,3311,43,bbbpbbppbppppbbbbpppbpppbbbpbpbbpppbbbbbpbp,bbbpbbppbpp,p
11,bbbpbbppbp,4666,55,bbbpbbppbppbbpppbpbbbpbbbbpbbpppbbbbpbppbppbppbpbppbbpb,bbbpbbppbpp,p
11,bbbpbbppbp,4901,48,bbbpbbppbppbppbbppbpppppbbbpppbbpbpbbpppppbpbbbp,bbbpbbppbpp,p
11,bbbpbbppbp,5041,59,bbbpbbppbppbppppbbbbppbbppppppbpppbbbbbppbbpbppbbbbpppbbppb,bbbpbbppbpp,p
11,bbbpbbppbp,5803,54,bbbpbbppbpbpbbbppbbppbbbbbppbbbbbppbbppbpbbpbbpbbppbpp,bbbpbbppbpb,b
11,bbbpbbpppp,1020,61,bbbpbbpppppbpbbpbbpbbppbppppbppbpbbbpbpbbppppbpbbbbbpppppbpbb,bbbpbbppppp,p
11,bbbpbbpppp,2352,50,bbbpbbpppppppbbpbpbpbbbpbbpbppppbpppbbpbbbpbbbbbpb,bbbpbbppppp,p
11,bbbpbbpppp,2627,40,bbbpbbpppppbpbbppppbbpbbppbpbppbpbbbbpbb,bbbpbbppppp,p
11,bbbpbbpppp,3726,56,bbbpbbpppppppbppbpbppbbbpppbpppbpppppbbbbbpbppbpppbpbbbb,bbbpbbppppp,p
11,bbbpbbpppp,3957,52,bbbpbbpppppbbbbppppbppbpppbpbpppbbpbpbbppppbpbbpbbbb,bbbpbbppppp,p
11,bbbpbbpppp,5387,56,bbbpbbpppppppbbpppbpppppppbppbbpbbpbbppppbbbbppppppppbbb,bbbpbbppppp,p
11,bbbpbpbbbb,1150,33,bbbpbpbbbbpppbpbbbpbpbbppbbppbppb,bbbpbpbbbbp,p
11,bbbpbpbbbb,1727,56,bbbpbpbbbbppbbpbbbppbpbpbpppbpppbpbbbbppbbbbbppppbppppbp,bbbpbpbbbbp,p
11,bbbpbpbbbb,3379,48,bbbpbpbbbbppbpbbbpbpbbbpbbbpbbpbpbbbppbpbpbbpbbp,bbbpbpbbbbp,p
11,bbbpbpbbbb,4477,56,bbbpbpbbbbbbbbpbppbbbbbbbbpbppbbpbpppbbbbppbbbpppbbbpppp,bbbpbpbbbbb,b
11,bbbpbpbbbb,5781,34,bbbpbpbbbbbpbbppppppbpppbpbbbpbppp,bbbpbpbbbbb,b
11,bbbpbpbbpb,192,17,bbbpbpbbpbbpbbppb,bbbpbpbbpbb,b
11,bbbpbpbbpb,1085,59,bbbpbpbbpbbppbbbbpbppbpppbppppbbppbbbbpbbpbpbbbbbbbbppppbpp,bbbpbpbbpbb,b
