ngram_id,grid_string_id,window_size,chunk_index,prefix,suffix,full_chunk,created_at,grid_string,string_length
301293,280,13,10,bpbbbpbbbbbb,b,bpbbbpbbbbbbb,2026-01-27 10:49:09,pbpbpbpbpbbpbbbpbbbbbbbpbbbpbpbppbbbbpbpbbbbbbbbbbpbbppp,56
305370,396,13,28,bpbbbpbbbbbb,p,bpbbbpbbbbbbp,2026-01-27 10:49:09,ppbbbbbbbpbbppbbbpbppppbbbpbbpbbbpbbbbbbpp,42
305951,416,13,24,bpbbbpbbbbbb,p,bpbbbpbbbbbbp,2026-01-27 10:49:09,bpbpbppppbbppbbpppbbppbbbpbbbpbbbbbbppbpp,41
307093,448,13,8,bpbbbpbbbbbb,p,bpbbbpbbbbbbp,2026-01-27 10:49:09,pbbbbpbpbpbbbpbbbbbbpbbpbppppbbppppbbppbbbbppbb,47
310381,550,13,1,bpbbbpbbbbbb,b,bpbbbpbbbbbbb,2026-01-27 10:49:09,bbpbbbpbbbbbbbppbppbbppppbpppbppbbbbpbbpbbbbbbpppppppbbb,56
311703,587,13,34,bpbbbpbbbbbb,p,bpbbbpbbbbbbp,2026-01-27 10:49:09,pbpbpbppbpbbppbppbppbppbbpbpbpppbbbpbbbpbbbbbbpbbbbbpbbb,56
321219,873,13,13,bpbbbpbbbbbb,p,bpbbbpbbbbbbp,2026-01-27 10:49:10,ppbbppbppbbpbbpbbbpbbbbbbpppbpbpbppbbbpbbp,42
329765,1111,13,27,bpbbbpbbbbbb,p,bpbbbpbbbbbbp,2026-01-27 10:49:10,pbpbpbbbbppbbbppbpppbpbbbpbbpbbbpbbbbbbpbbpbbpb,47
329806,1112,13,29,bpbbbpbbbbbb,b,bpbbbpbbbbbbb,2026-01-27 10:49:10,bbbpbpbpbbbbbbpbpbpbpbbppbbpbbpbbbpbbbbbbbbb,44
332849,1198,13,6,bpbbbpbbbbbb,b,bpbbbpbbbbbbb,2026-01-27 10:49:10,ppbpppbpbbbpbbbbbbbbpbpbppbpppbbpbbbpbbppbppbpbbbbppbbpbpppbppppp,65
336188,1289,13,6,bpbbbpbbbbbb,p,bpbbbpbbbbbbp,2026-01-27 10:49:10,pbbbbbbpbbbpbbbbbbppppbbbbbppppbppbppbbpbpbbpbpbpbbpppbbpppbbbpbbbbb,68
341808,1441,13,8,bpbbbpbbbbbb,p,bpbbbpbbbbbbp,2026-01-27 10:49:10,ppbbbpppbpbbbpbbbbbbpbppppbbbbbpppbbbpppppbppb,46
351715,1700,13,29,bpbbbpbbbbbb,b,bpbbbpbbbbbbb,2026-01-27 10:49:11,pbppbbpbpbpppppbpppbbbbpbbbppbpbbbpbbbbbbbpbbppbbbbbpbppppb,59
355155,1791,13,41,bpbbbpbbbbbb,b,bpbbbpbbbbbbb,2026-01-27 10:49:11,bbbbbpbppbbbbpbbbbppppbpppppppbpppbbbbppbbpbbbpbbbbbbbpppbppbb,62
355429,1798,13,41,bpbbbpbbbbbb,p,bpbbbpbbbbbbp,2026-01-27 10:49:11,pbbpbppppppbppppbbppbbbbbbpbppbbpbppbbpbbbpbbbpbbbbbbppbbppbbbbpb,65
297881,130,13,4,bpbbbpbbbbbp,p,bpbbbpbbbbbpp,2026-01-27 10:49:09,ppbpbpbbbpbbbbbppbppbbbppbp,27
300305,253,13,40,bpbbbpbbbbbp,p,bpbbbpbbbbbpp,2026-01-27 10:49:09,bpppppbbpbpbbbbbbbpppbbbpppbbppbpppbpbbbbpbbbpbbbbbpppbbb,57
302888,330,13,1,bpbbbpbbbbbp,p,bpbbbpbbbbbpp,2026-01-27 10:49:09,bbpbbbpbbbbbpppbpbpbppbpbpbbbbppbbpbbbbpbbbbbpbppppbb,53
303994,360,13,44,bpbbbpbbbbbp,b,bpbbbpbbbbbpb,2026-01-27 10:49:09,pbbppbpppbbbbbpbbpbppbpbbppbppbpbbbpbbpbbbpbbpbbbpbbbbbpbbbb,60
305835,413,13,20,bpbbbpbbbbbp,b,bpbbbpbbbbbpb,2026-01-27 10:49:09,pbppbppbpbbbbppppbppbpbbbpbbbbbpbp,34
