ngram_id,grid_string_id,window_size,chunk_index,prefix,suffix,full_chunk,created_at,grid_string,string_length
187249,89,12,5,bpbbpbbbbbb,b,bpbbpbbbbbbb,2026-01-26 10:57:31,bbbbbbpbbpbbbbbbbpppbp,22
187755,116,12,9,bpbbpbbbbbb,p,bpbbpbbbbbbp,2026-01-26 10:57:31,bpbppppbpbpbbpbbbbbbpbp,23
189673,199,12,0,bpbbpbbbbbb,b,bpbbpbbbbbbb,2026-01-26 10:57:31,bpbbpbbbbbbbppbbpppb,20
193673,279,12,16,bpbbpbbbbbb,b,bpbbpbbbbbbb,2026-01-26 10:57:31,pppbpbppppbpbpbpbpbbpbbbbbbbbbpbpbbpppbbp,41
194248,291,12,18,bpbbpbbbbbb,p,bpbbpbbbbbbp,2026-01-26 10:57:31,bpbbpbbppbbbppbbpbbpbbpbbbbbbppbbbbbbpbbbpbpbpbpppbppp,54
196748,338,12,15,bpbbpbbbbbb,b,bpbbpbbbbbbb,2026-01-26 10:57:31,pbpppbbpbbbpppbbpbbpbbbbbbbpbbpppbbppbppbpbpppbbb,49
201469,422,12,25,bpbbpbbbbbb,p,bpbbpbbbbbbp,2026-01-26 10:57:31,pbbbbbpppbbbpbpbpppbppppbbpbbpbbbbbbppppbpppbbbpbp,50
202440,438,12,2,bpbbpbbbbbb,p,bpbbpbbbbbbp,2026-01-26 10:57:31,bbbpbbpbbbbbbppbpppbbbbpbppbpbbpbppbppp,39
203864,464,12,37,bpbbpbbbbbb,p,bpbbpbbbbbbp,2026-01-26 10:57:31,pbbppppbpppbbpbpbbbbppppppbpbbppbpppbbpbbpbbbbbbppbpppbbbpbbb,61
204246,471,12,2,bpbbpbbbbbb,p,bpbbpbbbbbbp,2026-01-26 10:57:32,bbbpbbpbbbbbbppppppbbbbbbbbpbpbpp,33
206973,522,12,23,bpbbpbbbbbb,p,bpbbpbbbbbbp,2026-01-26 10:57:32,bbbpbpbpbbpppbpbppppbppbpbbpbbbbbbpbbbbbbbpppbp,47
208335,550,12,35,bpbbpbbbbbb,p,bpbbpbbbbbbp,2026-01-26 10:57:32,bbpbbbpbbbbbbbppbppbbppppbpppbppbbbbpbbpbbbbbbpppppppbbb,56
209304,567,12,38,bpbbpbbbbbb,b,bpbbpbbbbbbb,2026-01-26 10:57:32,pppbpbpppbbppbbppbpppbbpppbbpbpppppbpbbpbbpbbbbbbbppbbb,55
209364,568,12,8,bpbbpbbbbbb,p,bpbbpbbbbbbp,2026-01-26 10:57:32,bpppbbpbbpbbpbbbbbbpppbbbpbbpppbppbpbppppbbppbbbppbpbbbppppbppp,63
217439,717,12,40,bpbbpbbbbbb,b,bpbbpbbbbbbb,2026-01-26 10:57:32,pppbbbbpppbpbbbbbbbbbbbpbbbbbpppbbbpbbbpbpbbpbbbbbbbbpb,55
248191,1261,12,3,bpbbpbbbbbb,p,bpbbpbbbbbbp,2026-01-26 10:57:33,bbbbpbbpbbbbbbpbpbpbbppbbpbpbpbbppbbppbpppbpbbpbbbbbbpbpppppppbpppb,67
248215,1261,12,42,bpbbpbbbbbb,p,bpbbpbbbbbbp,2026-01-26 10:57:33,bbbbpbbpbbbbbbpbpbpbbppbbpbpbpbbppbbppbpppbpbbpbbbbbbpbpppppppbpppb,67
256569,1405,12,30,bpbbpbbbbbb,p,bpbbpbbbbbbp,2026-01-26 10:57:33,ppbpppbpbppbpbppbpbbbbpbbpppppbpbbpbbbbbbpbpbbpppbppppbbppppbpppbbp,67
260252,1466,12,1,bpbbpbbbbbb,p,bpbbpbbbbbbp,2026-01-26 10:57:33,bbpbbpbbbbbbpppppbbpbpbbbpbbppbbbpbpbbbpbppppb,46
263419,1520,12,8,bpbbpbbbbbb,p,bpbbpbbbbbbp,2026-01-26 10:57:33,pbbbbpppbpbbpbbbbbbpbpbpbpppbbppbpbpppbbbbpppbppbpbppbbpbpppbp,62
263557,1522,12,8,bpbbpbbbbbb,p,bpbbpbbbbbbp,2026-01-26 10:57:33,pbbbbpppbpbbpbbbbbbpbpbpbpppbbppbpbpppbbbbpppbppbpbppbbpbpppbpbb,64
263882,1527,12,39,bpbbpbbbbbb,b,bpbbpbbbbbbb,2026-01-26 10:57:33,ppbppbpbppbpbbbbpbpppbbbppbpppbpbbpbpbpbpbbpbbbbbbbbbbbbbbpbpbpbp,65
264446,1536,12,37,bpbbpbbbbbb,p,bpbbpbbbbbbp,2026-01-26 10:57:33,bpbbbbbbppppbbbbpbbbppppbbbbpbbbbppbbbpbbpbbbbbbppbbbppppbbbbbb,63
266877,1572,12,8,bpbbpbbbbbb,p,bpbbpbbbbbbp,2026-01-26 10:57:33,bbpbbpbpbpbbpbbbbbbpbppppppbppbbbpbpbppppbbbppbbpppp,52
269241,1607,12,3,bpbbpbbbbbb,p,bpbbpbbbbbbp,2026-01-26 10:57:33,bpbbpbbpbbbbbbpbpbbbpbbbbpppbppppbppppbpbbbppbpppbbpppppppbbbbb,63
274965,1706,12,2,bpbbpbbbbbb,b,bpbbpbbbbbbb,2026-01-26 10:57:33,bbbpbbpbbbbbbbbbbbbbpppbpbbpbpbbbbbpbpbbbpbbpbpbb,49
277409,1749,12,1,bpbbpbbbbbb,b,bpbbpbbbbbbb,2026-01-26 10:57:33,pbpbbpbbbbbbbpbbpbbppbbbbbbbppppbppbppbb,40
278830,1769,12,33,bpbbpbbbbbb,b,bpbbpbbbbbbb,2026-01-26 10:57:33,pbpbbppbppbbpppbpbpbpbppbpbpbbbppbpbbpbbbbbbbpbp,48
279352,1777,12,50,bpbbpbbbbbb,b,bpbbpbbbbbbb,2026-01-26 10:57:33,pbbpbpbbpppbpbbpbpppbpbbpppbbbpbppppppbpppppbpbpbpbpbbpbbbbbbbpb,64
281296,1809,12,0,bpbbpbbbbbb,b,bpbbpbbbbbbb,2026-01-26 10:57:33,bpbbpbbbbbbbpbpppppbbpbpbbbbbpbbbbppbppbpppbbpp,47
281437,1811,12,0,bpbbpbbbbbb,b,bpbbpbbbbbbb,2026-01-26 10:57:33,bpbbpbbbbbbbppbppbbbbbppbpbbbbpppppbpbpbpbbppbbpbpbbb,53
366605,1973,12,33,bpbbpbbbbbb,b,bpbbpbbbbbbb,2026-01-27 14:38:26,pbpppbbppbbbbbppbbbpbbpbbbpbbpbppbpbbpbbbbbbbpbbpbpbpbppbp,58
367573,1978,12,2,bpbbpbbbbbb,p,bpbbpbbbbbbp,2026-01-27 16:26:39,bpbpbbpbbbbbbpppbppppppbppbpbbbbbbbbppbpbpppbpppbbpppbbpb,57
376081,2025,12,28,bpbbpbbbbbb,b,bpbbpbbbbbbb,2026-01-29 11:44:33,bbbbpppbbbppbbbbpbpbbbppbbppbpbbpbbbbbbbppppppppbbbppbpbbpb,59
383828,2072,12,17,bpbbpbbbbbb,b,bpbbpbbbbbbb,2026-01-30 10:14:44,pppppbbppppbpppbpbpbbpbbbbbbbbpppbpbbppbpppbpbpbppbbpbp,55
389127,2103,12,26,bpbbpbbbbbb,p,bpbbpbbbbbbp,2026-01-31 06:07:03,bbbpbbbbpppbbbpbbpbbpbpbbbbpbbpbbbbbbpbbbppppppb,48
390197,2109,12,33,bpbbpbbbbbb,b,bpbbpbbbbbbb,2026-01-31 06:08:43,bppbpbpbbbpbbbpbbpbppbbpppbpbbpbpbpbbpbbbbbbbbpbpb,50
407333,2204,12,11,bpbbpbbbbbb,b,bpbbpbbbbbbb,2026-02-02 13:03:24,bbbbpppbpbbbpbbpbbbbbbbbbbppppbbpbbppbbbbpbbpbbbppppbp,54
416050,2253,12,0,bpbbpbbbbbb,b,bpbbpbbbbbbb,2026-02-02 15:04:02,bpbbpbbbbbbbppbbbpbpbbbbbbbpbbpbbbbpbbbbbbbppppppppppb,54
420943,2279,12,18,bpbbpbbbbbb,b,bpbbpbbbbbbb,2026-02-03 09:42:07,pbbppbbbbpbbpbpbbbbpbbpbbbbbbbbpppppbpbbpbppbpbpppbbppbbpppppppbp,65
429063,2323,12,27,bpbbpbbbbbb,p,bpbbpbbbbbbp,2026-02-04 16:55:12,pbbpbbbbpppbbppppbbppbppppbbpbbpbbbbbbppbbpbbbpbbbpbpbpbbb,58
437537,2370,12,29,bpbbpbbbbbb,p,bpbbpbbbbbbp,2026-02-04 19:42:16,ppbbppbpbpbbppbbbbpbppbpppppbbpbbpbbbbbbppbbbbpbbpbbb,53
446275,2418,12,14,bpbbpbbbbbb,p,bpbbpbbbbbbp,2026-02-05 15:55:18,bbppbbppppbpbpbpbbpbbbbbbppbbbbpbppbpbbpbbbbpbppp,49
446676,2420,12,14,bpbbpbbbbbb,b,bpbbpbbbbbbb,2026-02-05 15:55:59,bbbbbbbbpbpbbpbpbbpbbbbbbbpbppbppbbpbpbpppbbbpbbpbppbbppbbpbbbp,63
