No,prefix,전체 빈도,빈도 기반_예측,빈도 기반_신뢰도(%),빈도 기반_예측빈도,가중치 기반_예측,가중치 기반_신뢰도(%),가중치 기반_예측빈도,시뮬레이션 승률(%)
71,pbbbbppb,639,p,51.8,639,b,69.25,10.5,74.5
113,pbppbbbb,644,p,51.71,644,b,54.22,12.2,66.7
11,bpbbpbpb,670,p,52.99,670,p,50.04,7.9,64.9
110,pbpbppbp,617,b,52.51,617,p,56.32,8.0,62.5
3,bpbbbbpb,721,b,51.04,721,p,50.17,10.6,62.3
30,bpbpppbp,605,b,53.72,605,b,56.51,9.0,61.2
118,pbppbpbp,659,p,52.5,659,p,75.49,6.5,60.4
126,pbppppbp,587,b,52.81,587,b,58.73,8.2,59.3
120,pbppbppp,575,b,54.61,575,b,71.85,7.9,59.0
108,pbpbpbpp,645,b,53.02,645,b,60.49,8.9,58.6
31,bpbppppb,655,b,52.06,655,p,50.74,11.5,58.3
45,bppbppbb,640,p,51.56,640,b,65.31,7.8,58.3
75,pbbbpbpb,673,p,53.05,673,p,62.29,12.0,58.1
42,bppbpbbp,682,b,55.43,682,b,60.97,12.7,57.8
127,pbpppppb,593,b,50.42,593,b,55.5,11.2,56.5
95,pbbppppb,641,p,53.98,641,p,54.11,11.1,56.4
24,bpbpbppp,638,b,50.63,638,p,64.69,9.2,56.3
7,bpbbbppb,666,p,51.65,666,b,57.19,12.1,56.1
116,pbppbbpp,648,b,53.4,648,b,52.34,12.0,56.1
85,pbbpbpbb,654,b,51.99,654,b,52.78,8.8,55.7
15,bpbbpppb,702,b,51.85,702,p,50.97,11.2,55.6
37,bppbbpbb,663,p,50.98,663,p,65.43,10.9,55.6
91,pbbppbpb,669,b,53.66,669,b,63.08,11.2,55.4
107,pbpbpbpb,642,b,53.27,642,p,57.37,8.3,55.1
18,bpbpbbbp,680,b,50.88,680,p,61.94,8.3,54.5
36,bppbbbpp,576,b,50.17,576,p,51.71,9.3,54.5
92,pbbppbpp,631,p,51.66,631,p,56.78,8.5,54.3
84,pbbpbbpp,647,p,50.54,647,b,55.16,10.5,54.2
38,bppbbpbp,643,p,50.39,643,b,52.71,7.6,54.1
10,bpbbpbbp,726,b,55.1,726,b,61.37,6.9,54.0
62,bpppppbp,580,b,50.86,580,b,53.11,8.2,53.9
82,pbbpbbbp,668,b,52.69,668,b,63.58,13.9,53.9
65,pbbbbbbb,694,p,50.72,694,p,58.33,11.6,53.7
52,bpppbbpp,618,p,50,618,b,50.14,11.1,53.6
20,bpbpbbpp,643,p,50.86,643,p,60.66,6.6,53.3
59,bppppbpb,660,b,51.67,660,b,50.53,11.0,53.2
90,pbbppbbp,659,p,50.08,659,b,62.4,6.7,52.8
