window_size,prefix
10,bbpbbbbbb
10,bbpbbbbbp
10,bbpbbbbpp
10,bbpbbbppb
10,bbpbbbpbp
10,bbpbbbpbb
10,bbpbbbppp
10,bbpbppbbb
10,bbpbppbbp
10,bbpbppbpp
10,bbpbppppp
10,bbpbpbbbb
10,bbpbpbbbp
10,bbpbpbbpp
10,bbpbpbppb
10,bbpbpbpbp
10,bbpbpbpbb
10,bbpbpbppp
10,bbpppbbbb
10,bbpppbbbp
10,bbpppbbpp
10,bbpppbppb
10,bbpppbpbp
10,bbpppbpbb
10,bbpppbppp
10,bbppppbbb
10,bbppppbbp
10,bbppppppp
10,bbppppppb
10,bbppppbpp
10,bbppppbpb
10,bbpppppbb
10,bbppppppp
10,bbppppppb
10,bbppppppp
10,bbppppbbp
10,bbppppbbb
10,bbppppbpp
10,bbppppppp
10,bbppppppb
10,bbppppppp
10,bbppppptb
10,bbppppptp
10,bbppppptb
10,bbppppptb
10,bbpppbbbb
10,bbpppbbbp
10,bbpppbbpp
10,bbpppbppp
10,bbpppbppb
10,ppbbbbbbb
10,ppbbbbbbp
10,ppbbbbbpp
10,ppbbbbppb
10,ppbbbbpbp
10,ppbbbbpbb
10,ppbbbbppp
10,ppbbpbbbb
10,ppbbpbbbp
10,ppbbpbbpp
10,ppbbpbppb
10,ppbbpbpbp
10,ppbbpbpbb
10,ppbbpbppp
10,ppbppbbbb
10,ppbppbbbp
10,ppbppbbpp
10,ppbppbbpb
10,ppbppbpbp
10,ppbppbpbb
10,ppbppbppp
10,ppbpppbbb
10,ppbpppbbp
10,ppbpppppp
10,ppbpppppb
10,ppbpppppb
10,ppbpppppb
10,ppbpbbppb
10,ppbpbbpbb
10,ppbpbbppp
10,ppbpbbbbb
10,ppbpbpbpb
10,ppbpbpbpp
10,ppbpbpppp
10,ppbpbppbb
10,ppbbbpppp
10,ppbbbppbb
10,ppbbbbppp
10,ppbbbbbbp
10,ppbbbbbbb
10,ppbbbbpbp
10,ppbbbbpbb
10,ppbbbbppp
10,ppbbbbbbb
10,ppbbbbbpp
10,ppbbbbbbb
12,bpbbpbbbbbb
12,bpbbpbbbbbp
12,bpbbpbbbbpp
12,bpbbpbbbppb
12,bpbbpbbbpbp
12,bpbbpbbbpbb
12,bpbbpbbbppp
12,bpbbpbppbbb
12,bpbbpbppbbp
12,bpbbpbppbpp
12,bpbbpbppppp
12,bpbbpbpbbbb
12,bpbbpbpbbbp
12,bpbbpbpbbpp
12,bpbbpbpbppb
12,bpbbpbpbpbp
12,bpbbpbpbpbb
12,bpbbpbpbppp
12,bpbbpppbbbb
12,bpbbpppbbbp
12,bpbbpppbbpp
12,bpbbpppbppb
12,bpbbpppbpbp
12,bpbbpppbpbb
12,bpbbpppbppp
12,bpbbppppbbb
12,bpbbppppbbp
12,bpbbppppppp
12,bpbbppppppb
12,bpbbppppbpp
12,bpbbppppbpb
12,bpbbpppppbb
12,bpbbppppppp
12,bpbbppppppb
12,bpbbppppppp
12,bpbbppppbbp
12,bpbbppppbbb
12,bpbbppppbpp
12,bpbbppppppp
12,bpbbppppppb
12,bpbbppppppp
12,bpbbppppptb
12,bpbbppppptp
12,bpbbppppptb
12,bpbbppppptb
12,bpbbpppbbbb
12,bpbbpppbbbp
12,bpbbpppbbpp
12,bpbbpppbppp
12,bpbbpppbppb
12,pbppbbbbbbb
12,pbppbbbbbbp
12,pbppbbbbbpp
12,pbppbbbbppb
12,pbppbbbbpbp
12,pbppbbbbpbb
12,pbppbbbbppp
12,pbppbbpbbbb
12,pbppbbpbbbp
12,pbppbbpbbpp
12,pbppbbpbppb
12,pbppbbpbpbp
12,pbppbbpbpbb
12,pbppbbpbppp
12,pbppbppbbbb
12,pbppbppbbbp
12,pbppbppbbpp
12,pbppbppbbpb
12,pbppbppbpbp
12,pbppbppbpbb
12,pbppbppbppp
12,pbppbpppbbb
12,pbppbpppbbp
12,pbppbpppppp
12,pbppbpppppb
12,pbppbpppppb
12,pbppbpppppb
12,pbppbpbbppb
12,pbppbpbbpbb
12,pbppbpbbppp
12,pbppbpbbbbb
12,pbppbpbpbpb
12,pbppbpbpbpp
12,pbppbpbpppp
12,pbppbpbppbb
12,pbppbbbpppp
12,pbppbbbppbb
12,pbppbbbbppp
12,pbppbbbbbbp
12,pbppbbbbbbb
12,pbppbbbbpbp
12,pbppbbbbpbb
12,pbppbbbbppp
12,pbppbbbbbbb
12,pbppbbbbbpp
12,pbppbbbbbbb
