window_size,prefix
11,bbbpbbbbbb
11,bbbpbbbbbp
11,bbbpbbbbpb
11,bbbpbbbbpp
11,bbbpbbpbbp
11,bbbpbbpbpb
11,bbbpbbpbpp
11,bbbpbbppbb
11,bbbpbbppbp
11,bbbpbbpppp
11,bbbpbpbbbb
11,bbbpbpbbpb
11,bbbpbpbbpp
11,bbbpbpbpbb
11,bbbpbpbpbp
11,bbbpbpbppb
11,bbbpbppbbp
11,bbbpbppbpb
11,bbbpbppbpp
11,bbbpbppppb
11,bbbpbppppp
11,bbbppbbbbb
11,bbbppbbbbp
11,bbbppbbpbb
11,bbbppbbpbp
11,bbbppbbppb
11,bbbppbpbbp
11,bbbppbpbpb
11,bbbppbpbpp
11,bbbppbppbb
11,bbbppbppbp
11,bbbppbpppp
11,bbbppppbbp
11,bbbppppbpb
11,bbbppppbpp
11,bbbpppppbb
11,bbbpppppbp
11,bbbppppppb
11,bbbppppppp
11,pppbbbbbbb
11,pppbbbbbbp
11,pppbbbbbpb
11,pppbbbbbpp
11,pppbbbbpbb
11,pppbbbbpbp
11,pppbbbbppb
11,pppbbpbbbb
11,pppbbpbbpb
11,pppbbpbbpp
11,pppbbpbpbb
11,pppbbpbpbp
11,pppbbpbppb
11,pppbbppbbp
11,pppbbppbpb
11,pppbbppbpp
11,pppbbppppb
11,pppbbppppp
11,pppbpbbbbb
11,pppbpbbbbp
11,pppbpbbpbb
11,pppbpbbpbp
11,pppbpbbppb
11,pppbpbpbbp
11,pppbpbpbpb
11,pppbpbpbpp
11,pppbpbppbb
11,pppbpbppbp
11,pppbpbpppp
11,pppbppbbbb
11,pppbppbbpb
11,pppbppbbpp
11,pppbppbpbb
11,pppbppbpbp
11,pppbppbppb
11,pppbppppbb
11,pppbppppbp
11,pppbpppppb
11,pppbpppppp
13,bpbbbpbbbbbb
13,bpbbbpbbbbbp
13,bpbbbpbbbbpb
13,bpbbbpbbbbpp
13,bpbbbpbbpbbp
13,bpbbbpbbpbpb
13,bpbbbpbbpbpp
13,bpbbbpbbppbb
13,bpbbbpbbppbp
13,bpbbbpbbpppp
13,bpbbbpbpbbbb
13,bpbbbpbpbbpb
13,bpbbbpbpbbpp
13,bpbbbpbpbpbb
13,bpbbbpbpbpbp
13,bpbbbpbpbppb
13,bpbbbpbppbbp
13,bpbbbpbppbpb
13,bpbbbpbppbpp
13,bpbbbpbppppb
13,bpbbbpbppppp
13,bpbbbppbbbbb
13,bpbbbppbbbbp
13,bpbbbppbbpbb
13,bpbbbppbbpbp
13,bpbbbppbbppb
13,bpbbbppbpbbp
13,bpbbbppbpbpb
13,bpbbbppbpbpp
13,bpbbbppbppbb
13,bpbbbppbppbp
13,bpbbbppbpppp
13,bpbbbppppbbp
13,bpbbbppppbpb
13,bpbbbppppbpp
13,bpbbbpppppbb
13,bpbbbpppppbp
13,bpbbbppppppb
13,bpbbbppppppp
13,pbpppbbbbbbb
13,pbpppbbbbbbp
13,pbpppbbbbbpb
13,pbpppbbbbbpp
13,pbpppbbbbpbb
13,pbpppbbbbpbp
13,pbpppbbbbppb
13,pbpppbbpbbbb
13,pbpppbbpbbpb
13,pbpppbbpbbpp
13,pbpppbbpbpbb
13,pbpppbbpbpbp
13,pbpppbbpbppb
13,pbpppbbppbbp
13,pbpppbbppbpb
13,pbpppbbppbpp
13,pbpppbbppppb
13,pbpppbbppppp
13,pbpppbpbbbbb
13,pbpppbpbbbbp
13,pbpppbpbbpbb
13,pbpppbpbbpbp
13,pbpppbpbbppb
13,pbpppbpbpbbp
13,pbpppbpbpbpb
13,pbpppbpbpbpp
13,pbpppbpbppbb
13,pbpppbpbppbp
13,pbpppbpbpppp
13,pbpppbppbbbb
13,pbpppbppbbpb
13,pbpppbppbbpp
13,pbpppbppbpbb
13,pbpppbppbpbp
13,pbpppbppbppb
13,pbpppbppppbb
13,pbpppbppppbp
13,pbpppbpppppb
13,pbpppbpppppp
